unit_order,unit_id,unit_title,R2536,Met-1981.373,A4095,L4044,P3466,R2407,P5881
52,dc518a9e-3562-415f-a5ff-e50fb5140580,Scholars Say Various Things,,,,قال الأسد إنّ لأقوال العلماء وجوهًا كثيرة ومعاني مختلفة وأحوالًا ينصرف فيها لذوي العقول العمل ببعضها في حال والترك للعمل بها في حال,قال الأسد إنّ أقوال العلماء لها وجوه كثيرة ومعان مختلفة وإنّي لأعلم صواب ما تقولين,قال الأسد إنّ أقوال الحكماء كثيرة ومعانيها مختلفة,قال لها الأسد قول العلماء على أمور كثيرة وليس قولهم في كلّ خبر وفي كلّ أمر نصيحة يُعمل بها
53,356bc15c-7483-4ac1-b9be-afcd84b65395,Leaving Crimes Unreported Leads to Harm,,,,,,,فإنّهم قالوا من اطّلع على ذنب المذنبين فكتمه السلطان ولم يعاقبوا بذنوبهم ولم يُدانوا بها عوقب بها يوم القيامة الذي كتمها مع الذي عمل بها
54,401d0899-9f9d-48ca-a828-2003e9811584,It is Immoral not to Report Crimes,,,,وقد قالت العلماء الكتمان على أهل الريبة والتغييب عنهم شعبة من الريبة وسبيل من الإساءة,,وقد قالت العلماء إنّ الكتمان على أهل الرتبة والبحث عنهم سعةٌ من الريبة وسبيلٌ من الإساءة,
55,cf928fd4-c4ab-46ed-933c-c40bfee19919,The Lion Asks for His Mother's Secret,,,,,فإذا كان عندك سرّ فلا تطويه عنّي وإن كان أسرّ إليك أحد سرًّا فأخبريني به وأطلعيني على جملة الأمر فإن كان صالحًا حمدتك وإن كان مذمومًا عذرتك,,
56,34e1fcfc-76ce-4a26-b927-2e13912ce51c,The Lion Does Not Insist on Knowing His Mother's Source,,,,فإذا رأيت أن لا تخبريني باسم المسرّ إليك وتفسير ما أسرّ فأخبريني بجملة الأمر,وإن أنت لم تؤثري أن تخبريني باسم المسرّ إليك فأخبريني بجملة القول,,
57,17077dc8-cf81-4e9f-ad18-3aa8c5df66a7,Accounts Must Be Confirmed by a Trusted Source,فإنّه إذا كان الرأي موافقًا لأخبار الموثوق به وكان أشدّ للبصيرة وأبلج للصدر وأحرى أن يقدم المرء على غير !يقين,فإنّه إذا وافق الرأي الأخبار كان أشدّ للبصر وأثلج للفؤاد وأحرى أن يقدّم على غيره,إذا كان الرأي موافقًا لإخبار الموثوق به كان أسدّ البصيرة أبلج الصدر وأحرى أن يقدّم المرء يده على *غير الشبهة والشكّ,,,,
58,127b7427-54c0-4754-acf7-b84c68bc0969,The Mother's Source Attributes Dimna's Act to Envy of the Ox,قالت أمّ الأسد حدّثني الصديق الأمين غير المتّهم أنّ دمنة لم يركب من شتربة الذي ركب من تحصيله إيّاك عليه إلّا بحسده إيّاه على منزلته منك ومكانه عندك,فقالت أمّ الأسد حدّثني الصادق الأمين أنّ دمنة لم يرتكب من شتربة ما ارتكب من تحميله إيّاك عليه إلّا لحسده إيّاه ولكونه قريبًا ذا مكانة منك,فقالت أمّ الأسد حدّثني الأمين الصدوق عندك أنّ دمنة لم يركب من شتربه الذي ركب من تحميله إيّاك عليه إلّا لحسده إيّاه على منزلته منك ومكانه عندك,,,,
59,e3f48d25-5bb6-4e6d-82b4-17d9c7665880,Lion Asks for Source but Mother Wants to Keep It Secret,قال الأسد من أخبرك بذلك قالت أمّ الأسد إنّ الذي أخبرني استكتمني والمستكتم مؤتمن,فقال الأسد من خبّرك بذلك فقالت أمّ الأسد إنّه قد استكتمني والمستكتم مؤتمن,فقال الأسد ومن خبّرك بهذا فقالت أمّ الأسد قد استحفظنيه والمستكتمُ مُؤتمنٌ,,,,
60,58f2421b-ee64-4614-8f84-53f2811e598e,Sharing Entrusted Secrets Betrays Trust,ومن أفشى سرًّا أُستودعه فقد خان أمانته ومن فعل ذلك فهو بشرّ المنازل ولا يعود أحد يفشي إليه سرًّا,ومن أفشى سرًّا اُستودعه فقد خان أمانته ومن فعل ذلك فهو بأشرّ المنازل في المعاد,ومن أفشى سرًّا استودعه فقد خان أمانته ومن فعل ذلك كان بشرِّ المنازل في المعاد,,,,
61,3db17698-e166-4927-b464-2e9f80a588b0,Divulging Secrets Is a Punishable Sin,,,,,قالت أمّ الأسد إنّي لم أجهل قول العلماء في تعظيمهم العقوبة وتشديدها وما يدخل على الرجل في إذاعة الأسرار وما في ذلك من الإثم والشنار,وقالت إنّي لم أجهل قول العلماء في تعظيم العقوبة وما يدخل من العار في إذاعة الأسرار وما في ذلك من الإثم,
62,92d708fe-3b26-40a7-88bf-d4e6408053a2,The Mother Places the Lion's Benefit Over That of the Subjects,,,,,ولكنّي أحبّ أن أخبرك به بما فيه من المصلحة لك وإن وصل خطأه وضرره إلى العامّة فأضرارهم على خيانة الملك ممّا لا يدفع الشرّ عنهم,,
63,a542f193-98c2-4666-91a4-b7c558816b12,The Foolish Spread Doubt to Cover Their Crimes,,,ويحتجّ بها السفهاء عند ما يكون من أعمالهم السيّئة واستغشاء الملك بالأمر الذي يفعل خطأً إن كان فيه إلى العامّة,ويحتجّ به السفهاء عند ما يكون من أعمالهم السيّئة وإنّ من فساد العامّة ترك عقوبة مستوجبي العقوبة,وبه يحتجّ السفهاء ويدخلون الشبهة على ما يكون من أعمالهم القبيحة وأشدّ معارّهم إقدامهم على ذي الحزم الشريف,,
64,37b1339b-40c7-42e7-9e56-f225a04665ef,The Mother Quotes the Leopard Anonymously,,,,فأخبرته أمّه بجميع ذلك الحديث ثمّ,ثمّ أخبرت الأسد بجميع ما ألقاه إليها النمر من غير أن تخبره باسمه,فأخبرته أمّه بجميع الحديث وما كان عرّفها النمر به,قال فامتثلت أمّ الأسد ما قال لها ولدها فأخبرته بكلّ كلام كليلة ودمنة ومعاتبة كليلة لدمنة أخيه في قتل الثور وسعيه بالنميمة وعرّفته بجميع ما ذكر لها النمر من غير أن تبوح باسم صاحب السرّ فإنّها كتمته
65,c6b2e722-9116-43bc-94a5-0886751580ad,Serious Crimes Do Not Allow Secrecy,قال الملك لعمري لقد صدقت وإنّ ذلك لعلى ما وصفت وليس هذا ممّا ينبغي أن يُكتم بل يحقّ على صاحبه أن يُظهره ويفشيه ويستكمل الأجر فيه ولا يبطل عمله ولا سيّما في حقّ المظلوم فإنّ الدم عظيم شأنه,فقال الأسد لعمري لقد صدقت وإنّ ذلك لعلى ما وصفت وليس هذا ممّا ينبغي أن يُكتم بل يحقّ على صاحبه أن يعلمه ويظهر شهادته عليه ويستكمل الأجر فيه لا سيّما في دم المظلوم,فقال الأسد لعمري لقد صدقت ولكن ليس هذا ممّا ينبغي أن يُكتم بل يحقُّ على صاحبه أن يُعلنه ويُظهر شهادته عليه ويستكمل الأجر فيه ولا يبطلَ حقًّا عليه ولا سيَّما في دم المظلوم,,,,
66,d6305197-583a-44bc-af60-b8f4c1a7a80a,The Source Wants to Extricate Himself,,,,ولا أدري لعلّ الذي طرح إليك ذلك إنّما أراد بذكره لك إخراج نفسه من الحجّة عليه فيه *فانظري على ما يلزمك من ذلك فقد برئ إليك وخلع بإعلامه إيّاك الأمر من عنقه وقلّده في عنقك,واعلمي أنّ المسرّ إليك ذلك قد بَرِئ من عهدته وعلّق الأمر في عنقك,ولعلّ الذي طرح إليكي ذلك إنّما أراد به إخراج نفسه من الشناعة والحجّة عليه,فإنّ الذي أطلعك على هذا السرّ لم يطلعك عليه إلّا ليخبرني به
67,e028ed78-f591-4490-a84a-6e74ab5bb615,The Lion Urges His Mother to Disburden Herself,,,,فاخلعيه أنت أيضًا من عنقك وبيّنيه لي لنعمل فيه الذي ينبغي لنا أن نعمل في مثله,,فانصرفي عن هذا الرأي فتلتوي عن الحقّ,فحدّثيني بالحديث وبيّني لي الأمر واخلعيه أيضًا من عنقك واتركيني أعمل فيه بالذي ينبغي
68,87fca616-26ee-4a6b-88df-a29c4fc6d622,The Mother Feels Criticized by the Lion,,,,,,,
69,751949f0-239a-4c95-8330-f2cbb00a4a61,The Mother Wants the Lion to Investigate,,,,,,,قالت له أمّه إنّي قد علمت أنّ الأمر كما ذكرت لكنّي إنّما كرّرت عليك القول لتزداد في الذي سعى في أمره بحثًا وطلبًا وحرصًا فإذا كنت على علم من هذا الأمر وأنت قادر فما يمنعك من الفحص عنه وتصحيح قولي فيه وتعمل في هذا الأمر ممّا ينبغي لك أن تعمله
70,a588550d-caad-4e7f-aeeb-ca29f3c06214,Hiding a Crime Is Complicity,وإنّ الكاتم لذنب المجرم في إثم معه مع شركته إيّاه فيه,فإنّ الكاتم لذنب المجرم في زيغ منه مع شركته إيّاه فيه,فإن الكاتم لجُرم المجرم في وَتَغ مُبتغ شركه إيّاه فيه,,,,
71,bbfe1cd7-c38c-4c27-8e0c-85aa200175cd,A Ruler Must Not Punish Based on Suspicion,فإنّ السلطان لا ينبغي له أن يعاقب على الظنّ والشبهة حتّى يضيء له الظنّ أو الأمر,وإنّ السلطان لا ينبغي له أن يعاقب على الظنّ والشبهة حتّى يستبصر قال الله تعالى يا أيّها الذين آمنوا إذا جاءكم فاسق بنبإٍ فتبيّنوا ألا وإنّ الدم عظيم شأنه,وإنَّ السلطان لا ينبغي له أن يُعاقب على الظنِّ والشبهة فإنَّ الدم عظيمٌ شأنه,,,,
72,ad2453bb-7075-4776-b211-3ac971ce0785,The Lion Wants to Avoid Killing Another Innocent,وأنا وإن كنت أوطئت عشوة في شتربة فأنا أكره أن أركب مثلها من دمنة وقد برئ إليك من أخبرك بما ذكرت وقذفه في عنقك,وأنا وإن كنت قد أوطيت عشرة شتربة بما فعلت معه فإنّي أكره أن أرتكب من دمنة مثلها بغير !فتنة وقد برئ إليك من أخبرك بما ذكرت وقذف به في عنقك,وأنا وإن كنت أوطئت عشو في شتربة أكره أن أركب من دمنة مثلها بغير بيِّنةٍ ولا يقينٍ وقد رمى إليك من أخبرك بما ذكرت وقذفه في عنقك,,,,
73,e4672aff-8df2-4851-96e2-9678bf66249d,The Mother Expects Her Word to Suffice,فقالت أمّ الأسد صدقت ولكن قد كنت أظنّ أنّك مستكفي بما حدّثتك وتصدّقني فيه ولا تتّهمني عليه,فقالت أمّ الأسد صدقت ولكنّي كنت أظنّ أنّك تكتفي بما حدّثتك به وتصدّقني ولا تتّهمني عليه,قالت أمُّ الأسد صدقت ولكنّي كنت أظنّ أنك تستكفي بي فيما حدَّثتك أوَ تصدّقني به فلا تتّهمني عليه,,,,
